num,town,url
1,"Угольная","https://primpogoda.ru/weather/vladivostok/vladivostok_ugolnaya/.today"
2,"Санаторная","https://primpogoda.ru/weather/vladivostok/vladivostok_sanatornaya/.today"
3,"Заря","https://primpogoda.ru/weather/vladivostok/vladivostok_zarya/.today"
4,"Столетия","https://primpogoda.ru/weather/vladivostok/vladivostok_stoletiya/.today"
5,"БАМ","https://primpogoda.ru/weather/vladivostok/vladivostok_bam/.today"
6,"Снеговая падь","https://primpogoda.ru/weather/vladivostok/vladivostok_snagovaya_padi/.today"
7,"Дальхимпром","https://primpogoda.ru/weather/vladivostok/vladivostok_dalhimprom/.today"
8,"Лазурная","https://primpogoda.ru/weather/vladivostok/shamora/.today"
9,"Нейбута","https://primpogoda.ru/weather/vladivostok/vladivostok_neybuta/.today"
10,"Баляева","https://primpogoda.ru/weather/vladivostok/vladivostok_baliayeva/.today"
11,"Луговая","https://primpogoda.ru/weather/vladivostok/vladivostok_lugovaya/.today"
12,"Чуркин","https://primpogoda.ru/weather/vladivostok/vladivostok_churkin/.today"
13,"Тихая","https://primpogoda.ru/weather/vladivostok/vladivostok_tihaya/.today"
14,"Попова и Рейнеке","https://primpogoda.ru/weather/vladivostok/rejneke/.today"
15,"Русский","https://primpogoda.ru/weather/vladivostok/ayaks/.today"
16,"Эгершельд","https://primpogoda.ru/weather/vladivostok/vladivostok_egersheld/.today"
17,"Первая речка","https://primpogoda.ru/weather/vladivostok/vladivostok_pervaya_rechka/.today"
18,"Центр","https://primpogoda.ru/weather/vladivostok/vladivostok_central/.today"
19,"Вторая речка","https://primpogoda.ru/weather/vladivostok/vladivostok_voraya_rechka/.today"